Family,Instance_Name,core_count,memory_mb,AWS_Cost,Total_cost
c7g,c7g.4xlarge,16,32768,0.5781,0.9401
c6gd,c6gd.4xlarge,16,32768,0.6144,0.9224
c5a,c5a.4xlarge,16,32768,0.616,0.859
m6g,m6g.4xlarge,16,65536,0.616,0.923
m7g,m7g.4xlarge,16,65536,0.6528,1.0368
c5,c5.4xlarge,16,32768,0.68,0.923
c6i,c6i.4xlarge,16,32768,0.68,0.958
c5ad,c5ad.4xlarge,16,32768,0.688,0.962
m5a,m5a.4xlarge,16,65536,0.688,0.934
m6gd,m6gd.4xlarge,16,65536,0.7232,1.0302
c7gd,c7gd.4xlarge,16,32768,0.7258,1.0878
m5,m5.4xlarge,16,65536,0.768,1.042
m6i,m6i.4xlarge,16,65536,0.768,1.072
c5d,c5d.4xlarge,16,32768,0.768,1.011
c4,c4.4xlarge,16,30720,0.796,0.996
m4,m4.4xlarge,16,65536,0.8,1.1
r6g,r6g.4xlarge,16,131072,0.8064,1.2064
c6id,c6id.4xlarge,16,32768,0.8064,1.0844
m7gd,m7gd.4xlarge,16,65536,0.8543,1.2383
r7g,r7g.4xlarge,16,131072,0.8568,1.3608
c5n,c5n.4xlarge,16,43008,0.864,1.175
r5a,r5a.4xlarge,16,131072,0.904,1.227
m5d,m5d.4xlarge,16,65536,0.904,1.178
c6in,c6in.4xlarge,16,32768,0.9072,1.1852
r6gd,r6gd.4xlarge,16,131072,0.9216,1.3216
m6id,m6id.4xlarge,16,65536,0.9492,1.2532
m5n,m5n.4xlarge,16,65536,0.952,1.238
r6i,r6i.4xlarge,16,131072,1.008,1.416
r5,r5.4xlarge,16,131072,1.008,1.368
r4,r4.4xlarge,16,124928,1.064,1.464
m5dn,m5dn.4xlarge,16,65536,1.088,1.414
r7gd,r7gd.4xlarge,16,131072,1.0886,1.5926
m6in,m6in.4xlarge,16,65536,1.11384,1.41784
r5d,r5d.4xlarge,16,131072,1.152,1.512
r5n,r5n.4xlarge,16,131072,1.192,1.552
r6id,r6id.4xlarge,16,131072,1.2096,1.6176
